абдериты	глупый
терпеливый	долготерпеливый многотерпеливый выносливый снисходительный великодушный кроткий
терпение	терпеливость терпимость снисхождение мука
терпеть	претерпевать переносить выносить сносить смолчать промолчать выдерживать переварить страдать испытать переживать нуждаться удерживаться воздерживаться держаться крепиться допускать снисходить послаблять потворствовать дозволять медлить мучиться
терпимость	потворство терпение
терпимый	добрый
территория	место область страна
терроризировать	угрожать
терять	тратить утрачивать ронять растеривать проигрывать лишаться
теряться	пропадать
тес	дерево бревно
теснить	притеснять утеснять стеснять давить надавливать подавлять жать нажимать прижимать придавливать притискивать напирать налегать наступать наваливаться гнести угнетать щемить грызть есть преследовать
тесниться	стараться толпиться
теснота	давка
тесный	узкий сжатый ограниченный плотный интенсивный компактный
течение	ход
течь	литься сочиться струиться точиться капать катиться
течь	отверстие
тешить	веселить забавлять радовать своенравничать
тина	грязь
тип	вид образец разряд характер
тирада	речь
тиран	безжалостный жестокий мучитель
тиранить	мучить
тирания	насилие самовольство
тискать	давить
тискаться	толпиться
титан	великан
титул	имя надпись
титуловать	называть
титуловаться	называться
тихий	слабый глухой молчаливый безглагольный безгласный беззвучный безмолвный бессловесный неразговорчивый немой медленный медлительный мешковатый протяжный спокойный безмятежный безбурный кроткий скромный смирный воздержный тайный
тихо	втихомолку тихомолком потихоньку тихонько бесшумно неслышно вполголоса шепотом вполслуха молча молчаливо молчком тайный
тихоня	кроткий молчаливый
тихохонько	тихо
тишайший	кроткий
тише	молчать
тишина	тишь затишье молчание безмолвие пир лад согласие спокойствие покой отдых
тишком	тихо
тишь	безмолвие молчание тишина
тлен	негодное суета
тленный	бренный праховый тщетный суетный земной временный пустой
тлетворный	вредный
тлеть	гореть
тля	негодное
товарищ	сотоварищ сверстник друг коллега собеседник собрат собутыльник сослуживец соратник соотечественник единоверец единоплеменник соплеменник соотчич сородич земляк соратник однокашник соумышленник клеврет помощник сподвижник сотрудник общник пайщик попутчик спутник пара участник
товарищество	общество
товарка	товарищ
тогда	тут тутто
тож	или
тождественный	одинаковый
тождество	сходство
тожество	сходство
токмо	только
толк	толкать
толк	общество польза способность
толкать	двигать пинать пихать переть совать быть бодать лягаться брыкать пырять возбуждать направляться толпиться шататься
толки	молва сплетня
толкование	объяснение
толковать	беседовать объяснять разговаривать
толковый	умный
толкотня	давка
толмач	переводчик
толпа	скопище сборище орда сбор орава ватага люд народ простонародье чернь масса плебс улица
толпиться	толкаться тесниться напирать тискаться собираться
толстенный	толстый
толстеть	ботеть добреть дюжеть жиреть плотнеть тучнеть
толстосум	богатый
толстуха	толстый
толстый	полный плотный грузный ботелый дебелый дородный жирный гладкий пухлый тучный откормленный упитанный тяжелый толстобрюхий тостопузый пузатый утробистый толстяк толстуха бочка брюхан бутуз гладыш полновесный массивный вальяжный
толстяк	толстый
толчея	давка
толчок	возбуждение побуждение удар
только	токмо лишь исключительно единственно всего один как
том	книга часть
томительный	мучительный неприятный трудный тяжкий
томить	мучить
томиться	мучиться страдать
томление	мука печаль
томный	бессильный
тон	звук шум
тонкий	утонченный изысканный изящный искусный вальяжный рафинированный филигранный нежный острый чуткий хитрый вежливый ловкий осторожный чувствительный
тонуть	вязнуть гибнуть погружаться
топить	жечь погружать
топиться	гореть
топорище	древко рукоятка
топорный	грубый
топорщиться	важничать упрямиться
топь	болото
торба	мешок
торг	базар рынок
торгаш	кулак торговец
торгашеский	торговый
торговец	торгаш лавочник купец промышленник барышник скупщик перекупщик коммерсант негоциант
торговля	занятие
торговый	купеческий промышленный торгашеский коммерческий меркантильный
торжественный	парадный праздничный официальный формальный церемониальный великолепный блестящий
торжество	пир победа праздник
торжествовать	веселиться праздновать радоваться
торжище	базар рынок
тормоз	препятствие
тормозить	мешать удерживать
тормошить	беспокоить двигать
торный	обыкновенный
торопить	гнать погонять подгонять понукать ускорять подхлестывать пришпоривать
торопиться	спешить
торопливо	быстро впопыхах необдуманно скоро
торопливый	легкомысленный скорый
торочить	шить
торчать	стоять
тоска	печаль
тоскливый	печальный
тосковать	скучать грустить скорбеть печалиться изнывать
тост	речь
тотчас	безотлагательно немедленно
точить	лить
точиться	течь
точка	пятнышко крапинка конец остановка степень
точно	будто действительно как точный
точность	верность
точный	истинный верный достоверный несомненный безошибочный настоящий подлинный аккуратный внимательный добросовестный исправный исполнительный строгий тщательный пунктуальный корректный педантичный скрупулезный неукоснительный неупустительный надежный одинаковый подобный
тошнить	гадить мутить нудить неприятный отвращение
тошно	неприятный тошнить
тощий	худой исхудалый худощавый сухой сухощавый костлявый тщедушный поджарый сухопарый
трава	травка былье былинка зелень зелье злак мурава муравка
травить	нападать
травка	трава
травля	гонение охота
трагедия	зрелище случай
трагик	актер
трагический	несчастный
трактат	договор
трактир	гостиница
трактовать	говорить
транжирить	мотать тратить
транс	обморок
трансцендентальный	отвлеченный
трансцендентный	духовный отвлеченный
трапеза	еда
трапезничать	есть
трата	расход
тратить	издерживать изводить расходовать потреблять употреблять ухлопать девать мотать проматывать просаживать транжирить расточать проживать прожигать прогулять расщедриться раскошелиться терять
траур	печаль
траурный	печальный
трафаретный	обыкновенный
треба	богослужение священнодействие
требище	храм
требование	иск спрос домогательство притязание претензия призыв приглашение вызов зов клич воля
требовательный	взыскательный придирчивый строгий
требовать	искать взыскивать доправлять спрашивать домогаться настаивать
требоваться	надо нуждаться
тревога	беспокойство волнение забота смута смятение переполох потрясение ералаш кутерьма пертурбация суматоха
тревожиться	волноваться беспокоиться расстраиваться бояться
тревожный	беспокойный зловещий серьезный лихорадочный алармистский
треволнения	тревога
трезвенник	трезвый
трезвон	звук
трезвонить	рассказывать
трезвый	непьяный трезвенник воздержный здравый разумный
трек	арена место
трель	пение
трепать	беспокоить бить
трепет	боязнь
трепетать	бояться дрожать
трепетный	боязливый робкий трусливый
треск	звук
трескать	есть пить
трескотня	шум
треснуть	ударять
третировать	обращаться
третьестепенный	второстепенный
трещать	болтать важничать звучать
трещина	отверстие
трещотка	болтливый
тривиальный	пошлый
триумф	победа праздник хвала
трогательный	умилительный нежный
трогать	касаться дотрагиваться прикасаться осязать щупать брать беспокоить возбуждать волновать задирать обижать смущать тревожить умилять
троглодит	варвар
тройка	платье
тройчатка	бич
тромбонист	музыкант
тронутый	безумный
тронуть	умиляться
тронуться	идти пахнуть портиться
троп	пример
тропа	дорога
тропарь	молитва
тропинка	дорога
трость	палка
тротуар	дорога
трубадур	поэт
трубить	бездельник
труд	дело книга работа
трудиться	заниматься работать стараться упражняться усердствовать
трудный	многотрудный тяжкий тяжелый тягостный непосильный каторжный томительный сложный замысловатый головоломный
трудолюбивый	труженик работник
трудолюбие	старание
труженик	работник трудолюбивый
трунить	насмехаться
труп	мертвец покойник прах останки падаль мертвечина дохлятина стерва
трус	трусливый
трусить	бояться робеть
трусливый	боязливый робкий пугливый страшливый малодушный застенчивый трепетный опасливый мнительный нерешительный оробелый оторопелый трус трусишка трусиха баба
трусость	боязливость робость малодушие мнительность нерешительность колебание боязнь
трусца	аллюр
трутень	паразит
труха	негодное
трущоба	вертеп убежище
трюизм	изречение
тряпье	негодное лохмотье
трясина	болото
трясти	двигать
тряхнуть	бить
тс	молчать
туалет	платье
тугой	медленный скупой
тужить	печалиться
туз	богатый вельможа влиятельный главный сильный
туземец	исконный коренной природный первобытный уроженец старожил абориген автохтон житель
туземный	местный здешний тамошний исконный коренной природный отечественный родной домоделанный домотканный доморощенный
тузить	бить
тумак	удар
туман	мгла пары облако туча
туманный	неясный
тунеядец	блюдолиз паразит
тупик	улица
тупица	бездарность глупец
тупой	бездарный малоспособный бездарность глупый
тур	путь
турист	путешественник
турне	путь
тусклый	неясный темный
тут	тогда
тухнуть	гаснуть
туча	облако туман много
тучнеть	толстеть
тучный	толстый
тушить	гасить
тщание	старание
тщательный	аккуратный заботливый точный
тщедушный	тощий
тщеславие	гордость
тщеславиться	важничать хвастать
тщета	суета
тщетно	безуспешно напрасно
тщетный	бесплодный бесполезный пустой тленный
тщиться	усердствовать
тыл	изнанка
тын	забор
тычина	дерево
тьма	много темнота
тюк	связка
тюрьма	темница острог каземат арестантская холодная кутузка
тягаться	биться равняться соперничать судиться
тягостный	мучительный неприятный трудный тяжкий
тягость	бремя
тягота	бремя налог
тяготение	любовь
тяготеть	мучить привлекать стремиться
тяготить	давить мучить обременять
тяготиться	неприятный
тяжба	дело спор
тяжелая	беременная
тяжеловесный	тяжелый
тяжелый	тяжеловесный полновесный веский увесистый грузный обременительный стеснительный головоломный мучительный толстый трудный тяжкий
тяжесть	бремя ноша
тяжкий	тяжелый тягостный невыносимый мучительный томительный важный трудный
тянуть	тащить влачить волочить дергать рвать говорить желать пить стремиться
тянуться	бродить ехать ходить продолжаться равняться
убавлять	сбавлять отбавлять уменьшать
убавляться	уменьшаться
убаюкивать	усыплять
убегать	дезертировать удирать утекать улепетывать скрываться лупить улизнуть юркнуть
убедительный	доказательный верный назидательный надежный
убежать	убегать
убеждать	доказывать советовать уговаривать
убеждаться	уверяться верить
убеждение	вера
убежище	прибежище приют пристанище стан пристань притон гнездо гнездилище вертеп трущоба пансион интернат общежитие заведение монастырь фаланстер помещение
уберегать	охранять сохранять
уберечься	остерегаться
убивать	бить мертвить умерщвлять губить сразить казнить уничтожать
убиваться	печалиться
убийца	душегубец душегуб палач злодей преступник
убирать	есть украшать
убираться	уходить
ублажать	льстить
ублажиться	напиваться
убогий	бедный
убожество	бедность нужда
убор	платье украшение
уборная	комната
убояться	испугаться
убранство	обстановка украшение
убывать	уменьшаться
убыль	потеря уменьшение
убыток	потеря вред ущерб утрата наклад
убыточный	невыгодный накладный вредный
уважаемый	почитать
уважать	почитать ценить
уважение	внимание почтение
уважительно	почтительно
уважительный	извинительный простительный
уважить	исполнять уступать
увалень	неловкий
уведомление	весть известие извещение письмо
уведомлять	извещать
увековечить	обозначать
увеличение	умножение удвоение усиление возвышение накопление нарастание
увеличивать	умножать прибавлять надбавлять возвышать повышать усиливать удлинять расширять распространять усугубить удвоить утроить учетверить
увеличиваться	умножаться возрастать вырастать прибывать наливаться подниматься пухнуть вздуваться пучиться усиливаться размножаться
уверенность	вера доверие
увертка	отговорка уловка хитрость
увертливый	хитрый
увертываться	вилять вывертываться избегать хитрить
увертюра	начало
уверять	подтверждать уговаривать
уверяться	убеждаться
увеселение	веселье забава
увеселитель	забавник
увеселять	веселить забавлять радовать
увесистый	тяжелый
увечить	изувечивать калечить искалечивать уродовать ушибать
увечный	калека
увечье	рана
увещевать	уговаривать
увиваться	ухаживать
увидеть	понимать
увиливать	избегать
увлекательный	заманчивый интересный привлекательный
увлекать	привлекать соблазнять
увлекаться	интересоваться забываться разгорячаться расходиться развернуться пересолить распоясаться привлекать
увлечение	горячность любовь усердие
увольнение	освобождение отпущение отпуск отрешение отставка отчисление исключение удаление смещение абшид
увольнять	освобождать отпускать отрешать отставлять отчислять исключать удалять смещать сменять распускать рассчитать избавлять
увраж	книга
уврачевать	вылечивать
увядать	вянуть
увязаться	придираться
увязить	погружать
увязнуть	вязнуть погружаться
угадчик	предсказатель
угадывать	гадать догадываться предвидеть узнавать
угловатый	неловкий
углубление	борозда воронка впадина выбоина выбой избоина вымоина ухаб выемка глубь гнездо дупло жерло ложка колдобина котловина лоно лунка ниша очко полость паз ячейка яма ямина канава канал овраг ров рытвина буерак долина ложбина лощина ущелье расщелина расселина пещера грот нора
углубляться	вникать думать
углядеть	охранять
угнаться	равняться
угнездиться	водворяться помещаться приспособляться утверждаться
угнетать	преследовать теснить
угнетение	бремя гонение упадок
уговаривать	подговаривать убеждать увещевать усовещевать стыдить пристыжать урезонивать уверять заверять упрашивать умаливать уламывать искушать соблазнять внушать советовать
уговор	договор сделка согласие
уговориться	соглашаться
угодить	нравиться попадать угождать
угодливый	льстивый
угодник	льстец
угодничать	льстить
угодно	желать нравиться
угодный	нравиться приятный
угождать	потворствовать услуживать угодить попадать потрафлять ухаживать
угождение	услуга
уголок	место
угомон	отдых
угомонить	удерживать успокаивать
угомониться	успокаиваться
угоняться	равняться
угораздить	возбуждать
уготовить	приготовлять
угощать	потчевать подносить подавать поить честить предлагать
угощение	пир
угрожать	грозить грозиться пригрозить стращать устрашать пугать терроризировать обещать
угрожающий	опасный
угроза	острастка стращание застращивание предостережение обещание
угрюмый	мрачный пасмурный задумчивый насупленный насупистый нелюдимый необходительный необщительный неприветливый суровый грозный хмурый понурый брюзгливый бирюк бука медведь печальный
удаваться	посчастливиться спориться
удавить	убивать
удаление	увольнение
удаленный	дальний
удалять	устранять отвлекать отводить отклонять отгонять отлучать отринуть предотвращать долой прочь побоку изгонять лишать увольнять
удаляться	воздерживаться выбывать избегать уходить
удар	толчок заушение заушина затрещина зуботычина оплеуха пинок подзатыльник пощечина тумак шлепок щелчок мордобитие неприятность
удариться	заниматься любить стараться
ударять	бить огреть хлопать хватить ахнуть бухнуть долбануть жигануть закатить заушать залепить треснуть тарарахнуть ошарашить благословить мазнуть свистнуть
удача	успех счастье благополучие
удачливый	удачный
удачный	успешный удачливый счастливый блестящий желанный благополучный благоприятный
удвоение	увеличение умножение
удвоить	увеличивать
удел	судьба часть
удержать	побеждать
удерживать	сдерживать придерживать задерживать замедлять останавливать приостанавливать препятствовать возбранять мешать тормозить унимать усмирять угомонить успокаивать стеснять обуздывать ограничивать укрощать умерять обезоруживать
удерживаться	держаться выдерживать воздерживаться сдерживаться терпеть крепиться избегать
удесятерить	увеличивать
удешевленный	дешевый
удивительный	дивный диковинный изумительный поразительный разительный странный чрезвычайный чудный чудесный сенсационный отличный
удивлять	дивить изумлять поражать изумление озадачить огорошить ошарашить ошеломить
удивляться	дивиться изумляться недоумевать ахнуть обомлеть одеревенеть окаменеть окостенеть остолбенеть оцепенеть застыть
удирать	убегать
удлинять	увеличивать
удобный	годный способный приспособленный ловкий сподручный покойный спокойный укромный уютный комфортабельный благоприятный подходящий
удобопонятный	ясный
удобриться	сжалиться
удобство	комфорт довольство
удовлетворение	воздаяние возмещение возмездие плата отплата
удовлетворенный	довольный
удовлетворительный	достаточный порядочный изрядный довольный благополучный хороший
удовлетворять	воздавать возмещать вознаграждать отплачивать довольствовать насыщать пресыщать умилостивлять задабривать умиротворять искуплять исполнять успокаивать
удовлетворяться	довольствоваться обходиться ограничиваться пробавляться
удовольствие	наслаждение отрада приятность услада утеха утешение веселье
удостаиваться	сподобиться
удостоверение	аттестат свидетельство
удостоверять	подтверждать свидетельствовать
удостоверяться	заслуживать узнавать
удостоить	почитать радовать
удосуживаться	собраться
удружить	давать услуживать
удручать	беспокоить мучить обременять
удрученный	несчастный
уединение	захолустье
уединиться	замуравиться отшельником чуждаться закупориться законопатиться запереться
уезд	место
уезжать	выбывать
уехать	уходить
уж	быстро
ужас	много
ужасать	пугать
ужаснуть	испугать
ужаснуться	испугаться
ужасный	страшный
ужели	разве
уживчивый	податливый
ужимка	гримаса замашка
ужин	еда пир
ужинать	есть
ужиться	соглашаться
узаконение	правило
узда	препятствие
узел	связка
узелок	связка
узкий	тесный
узнавать	признавать опознавать распознавать определять отличать различать дознавать разузнавать отгадывать разгадывать угадывать разведывать выведывать проведывать изведать сведать допрашивать выспрашивать выпытывать пронюхивать разнюхивать расчухать доведываться дознаваться доискиваться докапываться допытываться дорываться известиться ознакомиться осведомляться удостоверяться доходить выслеживать справляться извещаться
узнать	испытывать
узник	арестант
узор	украшение
узы	бремя оковы сети союз
уйти	избегать
указ	приказ
указание	намек
указательный	палец
указчик	правитель
указывать	приказывать
укатить	уходить
укачивать	усыплять
уклад	строение строй устройство
укладистый	широкий
уклонение	аномалия исключение нежелание неправильность ошибка
уклончивость	нежелание
уклончивый	хитрый
уклоняться	вилять избегать
укокошить	убивать
укол	насмешка неприятность обида
уколоть	неприятность
укор	выговор обвинение
укорачивать	уменьшать
укорениться	утверждаться
укоренять	внушать водворять помещать
укореняться	помещаться
укоризна	выговор
укорять	обвинять упрекать
украдкой	тайный
украшать	красить скрашивать прикрашивать убирать отделывать наряжать прихорашивать расписывать сглаживать расцвечивать гарнировать декорировать
украшение	прикраса закраса наряд убор убранство узор отделка обшивка нашивка гарнитур декорация орнамент арабеска галун мишура позумент лучший
укрепиться	овладевать
укрепление	крепость
укреплять	усиливать утверждать
укромный	удобный
укрощать	удерживать усмирять успокаивать
укрывать	скрывать убежище
укутываться	надевать
улаживать	исправлять мирить
уламывать	уговаривать
улащивать	льстить
улепетывать	убегать
улетучиваться	гибнуть пропадать
улечься	переставать успокаиваться
улизнуть	убегать
улика	доказательство
улица	проспект переулок проезд аллея тупик дорога толпа чернь
уличать	обвинять обнаруживать
уловить	замечать
уловка	увертка ухватка хитрость ухищрение злоухищрение хитросплетение прием плутня проделка сноровка ловкость виляние криводушие лукавство выверт изворот штука фокус маневр махинация софизм предлог лазейка
уловлять	ловить
уложить	убивать
уложиться	исправлять
уломать	выпросить
улучшать	исправлять
улучшение	обработка поправка починка отделка ремонт реформа прогресс исправление
улыбаться	смеяться
улыбка	смех
ульнуть	избегать
ультиматум	окончательный предложение требование
ум	разум рассудок смысл догадливость догадка сметка гений
умазывать	подкупать
умаление	уменьшение
умаливать	уговаривать
умалишенный	безумный сумасшедший
умалчивать	молчать скрывать
умалять	уменьшать
умаляться	уменьшаться
умасливать	льстить
умаяться	ослабевать
умелый	искусный ловкий
умение	знание опытность способность
уменьшать	убавлять отбавлять сбавлять умалять малить умерять ограничивать сокращать укорачивать урезывать суживать
уменьшаться	убавляться малеть умаляться съеживаться мельчать падать убывать стихать замирать слабеть прекращаться
уменьшение	умаление убавление сбавка убыль урезка скидка уступка понижение
умеренный	бережливый воздержный дешевый скромный сносный
умерший	мертвый
умерщвлять	убивать
умерять	смягчать удерживать уменьшать
уместительный	широкий
уместный	подходящий
уметь	знать мочь
умеючи	знание
умиление	восторг
умиленный	нежный
умилительный	трогательный
умилосердить	умилостивлять
умилостивлять	умилосердить умолить упросить разжалобить смягчить задабривать умиротворять утихомирить удовлетворять
умильный	льстивый нежный
умилять	разжалобить растрогать трогать расшевелить
умирать	помирать мереть скончаться пасть погибать преставиться окочуриться пасть пропасть издохнуть околеть гибнуть защищать
умиротворять	удовлетворять умилостивлять успокаивать
умничать	хитрить
умножать	увеличивать
умножаться	увеличиваться
умножение	приумножение размножение увеличение накопление скопление рост нарастание приращение усиление собирание возвышение удвоение
умножиться	размножаться
умный	разумный благоразумный понятливый рассудительный смышленый толковый мудрый мыслящий здравомыслящий здравый
умозаключение	вывод
умозрительный	духовный отвлеченный
умолить	умилостивлять
умолкнуть	молчать
умолять	просить
умора	смех смешной
уморительный	смешной
умственный	духовный отвлеченный
умудрить	выучить
умудриться	выдумывать ухитряться
умысел	замысел намерение
умышленно	предумышленно заведомо зазнамо нарочно нарочито намеренно злонамеренно злостно демонстративно специально тенденциозно
умышлять	замышлять
универсальный	общий
унижать	бесславить уничижать срамить
унижаться	спускаться опускаться пасть падать смиряться льстить подличать подчиняться
унижение	бесславие обида
унизительный	обидный
унимать	удерживать усмирять успокаивать
униматься	переставать успокаиваться
унисон	согласие
уничижать	унижать
уничижение	бесславие
уничтожать	губить разрушать разорять гасить изводить истреблять искоренять сокрушать задавить подавлять душить заглушать убивать отменять упразднять кассировать аннулировать атрофировать нейтрализировать парализировать смывать выводить сплавлять вытравлять выедать свирепствовать
уничтожаться	гибнуть пропадать
уносить	красть
унывать	отчаиваться печалиться
унылый	печальный
уныние	отчаяние печаль
упадок	падение оскудение вырождение притупление угнетение атрофия банкротство несостоятельность кризис
упасть	валиться падать
упечь	изгонять
упиваться	напиваться
упирать	внимание
упираться	артачиться опираться упрямиться
упитанный	толстый
упихивать	есть
уплатить	платить
уплетать	есть
уплыть	уходить
упование	надежда
уповать	надеяться
уподобление	сравнение
уподоблять	сравнивать
уподобляться	подобный походить
упоение	воодушевление восторг горячность
уполномоченный	агент посредник
уполномочивать	вверять поручать
упомнить	помнить
упорный	упрямый
упорство	упрямство
упорствовать	артачиться упрямиться
упорядочить	исправлять
употребительный	модный обыкновенный
употребить	напиваться
употреблять	потреблять пользоваться применять есть пить тратить
управа	власть
управиться	успевать
управление	господство
управлять	править
управляющий	правитель
упражнение	работа
упражнять	утончать изощрять совершенствовать навострить
упражняться	делать заниматься трудиться привыкать набойчиться навостриться наметаться думать
упразднять	уничтожать
упрашивание	просьба
упрашивать	уговаривать
упреждать	предупреждать
упрек	выговор обвинение
упрекать	выговаривать
упрекать	попрекать корить укорять пенять осуждать порицать колоть шпынять бранить распекать
упросить	просить умилостивлять
упрочивать	утверждать
упрощенный	простой
упругий	гибкий
упряжка	лошадь
упрямиться	упрямствовать упорствовать упираться противиться сопротивляться крепиться артачиться бычиться гримасничать ерепениться ершиться капризничать кобениться куражиться ломаться пыжиться храбриться хорохориться церемониться чиниться щетиниться фордыбачиться
